Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,668658052796,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,566879046556,0
H4,2013,2013,2013,0,0,4,Re-Import,251,France,FRA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,6523237816,0
H4,2013,2013,2013,0,0,1,Import,258,French Polynesia,PYF,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1814846584,0
H4,2013,2013,2013,0,0,2,Export,258,French Polynesia,PYF,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,151488051,0
H4,2013,2013,2013,0,0,4,Re-Import,258,French Polynesia,PYF,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,203122,0
H4,2013,2013,2013,0,0,1,Import,268,Georgia,GEO,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,7873967907,0
H4,2013,2013,2013,0,0,2,Export,268,Georgia,GEO,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,2909254858,0
H4,2013,2013,2013,0,0,3,Re-Export,268,Georgia,GEO,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1054529582,0
H4,2013,2013,2013,0,0,4,Re-Import,268,Georgia,GEO,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,12724,0
H4,2013,2013,2013,0,0,1,Import,276,Germany,DEU,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1194482625229,0
H4,2013,2013,2013,0,0,2,Export,276,Germany,DEU,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1458646977784,0
H4,2013,2013,2013,0,0,1,Import,288,Ghana,GHA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,10018227387,0
H4,2013,2013,2013,0,0,2,Export,288,Ghana,GHA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,15580158006,0
H4,2013,2013,2013,0,0,1,Import,300,Greece,GRC,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,61151139013,0
H4,2013,2013,2013,0,0,2,Export,300,Greece,GRC,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,36259498856,0
H4,2013,2013,2013,0,0,1,Import,304,Greenland,GRL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,822141072,0
H4,2013,2013,2013,0,0,2,Export,304,Greenland,GRL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,490065316,0
H4,2013,2013,2013,0,0,1,Import,320,Guatemala,GTM,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,17503977537,0
H4,2013,2013,2013,0,0,2,Export,320,Guatemala,GTM,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,10065328599,0
H4,2013,2013,2013,0,0,1,Import,348,Hungary,HUN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,98952669940,0
H4,2013,2013,2013,0,0,2,Export,348,Hungary,HUN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,108297670417,0
